goos: darwin
goarch: arm64
pkg: github.com/axonops/fuzzymatch
cpu: Apple M2
BenchmarkHammingScore_ASCII_Long-8                                 	 6527691	       184.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Long-8                                 	 6542737	       184.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Long-8                                 	 6529129	       183.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Long-8                                 	 6468100	       183.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Long-8                                 	 6533989	       183.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Long-8                                 	 6528511	       183.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Long-8                                 	 6494277	       183.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Long-8                                 	 6519541	       183.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Long-8                                 	 6533186	       184.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Long-8                                 	 6547113	       184.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_Unicode_Short-8                              	41073441	        29.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_Unicode_Short-8                              	40960524	        29.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_Unicode_Short-8                              	40057471	        29.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_Unicode_Short-8                              	39718878	        29.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_Unicode_Short-8                              	39081900	        29.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_Unicode_Short-8                              	39804844	        29.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_Unicode_Short-8                              	39755996	        29.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_Unicode_Short-8                              	39508936	        29.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_Unicode_Short-8                              	40662631	        29.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_Unicode_Short-8                              	40197076	        29.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkJaroScore_ASCII_Short-8                                   	27663339	        44.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkJaroScore_ASCII_Short-8                                   	26821060	        44.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkJaroScore_ASCII_Short-8                                   	26611988	        44.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkJaroScore_ASCII_Short-8                                   	27031212	        44.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkJaroScore_ASCII_Short-8                                   	26594467	        44.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkJaroScore_ASCII_Short-8                                   	27048297	        44.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkJaroScore_ASCII_Short-8                                   	27270997	        44.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkJaroScore_ASCII_Short-8                                   	27508449	        44.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkJaroScore_ASCII_Short-8                                   	27202171	        44.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkJaroScore_ASCII_Short-8                                   	27259845	        44.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkJaroScore_ASCII_Medium-8                                  	 2038542	       590.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkJaroScore_ASCII_Medium-8                                  	 2032959	       615.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkJaroScore_ASCII_Medium-8                                  	 2012974	       590.1 ns/op	       0 B/op	       0 allocs/op
